---,Name,Description,Image,Audio
11,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""11_Name"", ""11. The Wheel in front of your opponent"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""11_Description"", ""Remember to compose yourself in this way: advance towards the opponent with your left foot, ensuring that both of their feet are positioned between both of yours. |Then, grasp the muscles of their left arm with your right hand, and insert your left hand under the opponent\'s right armpit. |Afterward, throw them down from the form of the wheel, that is, by precipitating them with your left foot. |But if this does not happen to you and you wish to avert it, remove your right hand from their left shoulder, and if you apply it to their neck, you will weaken the opponent\'s force and effort."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_011.400px-Mair_grappling_011'","None"
12,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""12_Name"", ""12. Closed wrestling"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""12_Description"", ""Prepare yourself in the aforementioned posture: place your left foot between both of the opponent\'s feet and step back behind their right heel. |But if they advance against you in the same manner, seize their right shoulder from the front with your left hand, and direct your right hand backward around their waist to assist your left hand, pressing the opponent firmly towards you. |However, if they embrace you in the same way and use the same method of pressing, then place your left arm over their left arm, and with your right hand, seize their foot near the knee to assist your left hand. |If you lift them in this posture and push them away with your left shoulder, you will be able to throw them down."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_012.400px-Mair_grappling_012'","None"
13,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""13_Name"", ""13. A stepping in/stepping together with a throw"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""13_Description"", ""From this posture, place your left foot in front of both of the opponent\'s feet, place your right hand on their left shoulder from the outside, and apply your right hand around their waist to their right side. |However, if the opponent tries to free themselves and grabs your shoulder with their left hand, push your right elbow into their left armpit with all your strength, and throw the opponent down on their back by precipitating them with your left foot."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_013.400px-Mair_grappling_013'","None"
14,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""14_Name"", ""14. A throw from the upper weak point"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""14_Description"", ""In this encounter, do not hesitate to place your left foot behind the opponent\'s right foot, place your left hand under their chin, and seize their left arm near the shoulder with your right hand. |If the opponent resists to avoid falling and grabs both of your arms with theirs, then push their chin backward with your left hand placed under it. |From this posture, they will not be able to resist falling, and with all your strength, throw the opponent down on their back using your left foot."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_014.400px-Mair_grappling_014'","None"
15,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""15_Name"", ""15. A throw out of the armtwist"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""15_Description"", ""If you wish to use this method correctly, advance with your right foot to get ahead of the opponent\'s left foot, direct your right arm backward around their waist towards their right side, and seize their right elbow with your left hand. |Then, pull the opponent towards your right side. |However, if they attempt to throw you down, then guide your right arm over their chest, apply your left shoulder to them, and seize their left side with your left hand. |Then, by retracting your right foot and throwing them from their right hip towards your right side, you will throw the opponent down."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_015.400px-Mair_grappling_015'","None"
16,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""16_Name"", ""16. A throw out of the scales"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""16_Description"", ""If you both engage, place your right foot in front of both of the opponent\'s feet, try to seize their right shoulder with your left hand, and direct your right hand under their left arm, applying it to their waist. |But if they seize you in the same manner, then guide your left arm over their right shoulder, encircle their flank with your right hand, and assist your left hand. |If they seize you in the same way and attempt to resist, nevertheless, throw the opponent down from the posture in which you seized them using both of your feet."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_016.400px-Mair_grappling_016'","None"
17,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""17_Name"", ""17. A throw from the swing"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""17_Description"", ""Compose yourself in the aforementioned posture in this way: place your right foot inside the opponent\'s right foot, direct your right hand over their chest, applying it to their left side, and seize their right foot from above with your left hand. |But if the opponent seizes you in the same way, then place your right hand under their left arm and their left armpit, and seize their right arm from the inside with your left hand. |In this way, do not cease to suppress them. |However, if they try to remove the precipitation you set up, place your left foot behind their right foot, and by using your left foot, throw the opponent to the ground."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_017.400px-Mair_grappling_017'","None"
18,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""18_Name"", ""18. A common throw"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""18_Description"", ""If you both mutually approach each other, place your left foot between both of the opponent\'s feet, seize their right foot backward with your left hand, and rotate their pubic area with your right hand towards your right side. |But if they attempt the same, place your left foot against their left foot, and the opponent will be forced to fall."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_018.400px-Mair_grappling_018'","None"
19,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""19_Name"", ""19. A throw out of the scales"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""19_Description"", ""Adapt yourself to the aforementioned posture in this way: advance boldly with your left foot, encircle the opponent\'s flank on their left side with your right hand, and seize their right foot from above with your left hand. |But if the opponent embraces you in the same way, then encircle their right side with your left hand, and seize their left foot with your right hand, passing it under their left arm. |If both of you embrace each other in the same way from the balance posture, place your right foot in front of their left foot, and from this posture, throw the opponent down using the aforementioned foot."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_019.400px-Mair_grappling_019'","None"
20,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""20_Name"", ""20. A throw out of strength"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""20_Description"", ""In this mutual encounter, place your left foot outside the opponent\'s right foot, seize their right side with your right hand, and encircle their flank with your left hand. |But if they seize you in the same way, then guide your left hand over their right arm, seize their right side with your left hand, and encircle their flank with your right hand, assisting your left hand with equal strength. |If both of you mutually embrace each other, place your left foot in front of the opponent\'s right foot, and if you pull their flank towards you with all your strength and apply your chin to their chest, suppress them in this way, and throw the opponent down using your left foot."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_020.400px-Mair_grappling_020'","None"
21,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""21_Name"", ""21. A throw out of the upper weak point"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""21_Description"", ""For this fight, you must adapt yourself in this way: step with your left foot to the opponent\'s right side, and extend both of their feet backward. |Then, apply your left hand to their neck, encircle their flank with your right hand, and seize their right side. |But if they resist and seize your right elbow with their left hand, and in turn encircle your flank, seizing your right side, and attempt to remove you in this way, then by pressing their neck backward from above and using your left foot, throw the opponent down."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_021.400px-Mair_grappling_021'","None"
22,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""22_Name"", ""22. A throw from the middle weak point"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""22_Description"", ""In this fight\'s posture, after you engage, compose yourself in this way: place your right foot farther behind the opponent\'s left foot, lift their right foot upward from the inside with your left hand, and seize their right side with your right hand extended around their waist. |But if the opponent seizes you in the same way and attempts to throw you down, then seize the middle of the opponent with both of your arms and pull them firmly towards you. |If they use the same method against you, retreat slightly, and after lifting their right foot, throw the opponent down to your right side."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_022.400px-Mair_grappling_022'","None"
23,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""23_Name"", ""23. A common throw"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""23_Description"", ""In this mutual approach, place your left foot between both of the opponent\'s feet and suppress them near the neck with your chin. |But if they adapt themselves to the balance posture and bend downward, insert your left hand into both of the opponent\'s feet, encircle their flank with your right hand, seize their right side, and pull them towards you. |But if they embrace you in the same way, encircle their flank with both of your arms and press the opponent towards you. |If they use the same method against you, repel them by pushing their chin, and if you lift them upward from below, they will be forced to fall on their back."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_023.400px-Mair_grappling_023'","None"
24,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""24_Name"", ""24. A hip throw"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""24_Description"", ""In the manner that follows, adapt yourself to this posture: place your right foot in front of the opponent\'s right foot, seize their left armpit with your right hand, and encircle their body with your left hand, assisting your right hand. |But if they seize you in the same way, encircle their body with your right hand over their chest, and firmly seize the upper part of their arm with your left hand. |Then, place your right foot in front of their left foot, and if you rotate the opponent over your right hip, they will fall."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_024.400px-Mair_grappling_024'","None"
25,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""25_Name"", ""25. A throw from the scales"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""25_Description"", ""If you come into the opponent\'s view, place your left foot farther in front of both of their feet, encircle their flank with your right hand, and guide their chest with your left hand, embracing their body so that your right hand assists your left hand. |But if the opponent seizes you in the same way, then guide your left hand over their right arm, encircle their body, and assist your left hand. |Then, prepare yourself in the balance posture, and if you rotate them over your left foot, they will not be able to support themselves and will fall."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_025.400px-Mair_grappling_025'","None"
26,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""26_Name"", ""26. A throw with an armbreak"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""26_Description"", ""Compose yourself in the aforementioned manner: if the opponent seizes the inner part of your left arm with their right hand and places their left hand on your neck to try to pull you towards them, then throw your right arm over the opponent\'s shoulder from above, and seize their right elbow with your left hand. |Then, if you place your right foot farther forward and suppress them firmly from above, you will break the opponent\'s arm, or if you prefer, you can throw them down using the advanced foot."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_026.400px-Mair_grappling_026'","None"
27,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""27_Name"", ""27. An armlock with a throw"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""27_Description"", ""From this encounter, place your right foot inside the opponent\'s left foot and seize their flank from the front with both of your hands. |But if they use the same method against you, place both of your arms over both of the opponent\'s arms and firmly press their elbows downward. |Then, if you lift them upward and throw them over your right foot, the opponent will not be able to maintain their balance and will fall."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_027.400px-Mair_grappling_027'","None"
28,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""28_Name"", ""28. How to get free of a lock"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""28_Description"", ""Step towards the opponent with your left foot and seize their flank from the front with both of your hands. |But if they use a similar method against you, insert both of your elbows inside their arms, then adjust yourself into the balance posture by leaning your body forward, and extend your arms outward again. |Afterward, place both of your hands under the opponent\'s elbows, and if you lift them upward and place your left foot against their left foot, you will throw the opponent down on their back."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_028.400px-Mair_grappling_028'","None"
29,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""29_Name"", ""29. A break-in with a throw"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""29_Description"", ""Compose yourself in this way during the encounter against the opponent: keep both of your hands low. |But if the opponent advances towards you, seize both of their feet with your arms and pull them towards you. |However, if the opponent uses the same method, then seize both of their shoulders from above with both of your arms. |If they embrace you in the same way and attempt to throw you down together, spread your feet wider apart, and if you pull the opponent through both of your arms, you can throw them down at your discretion."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_029.400px-Mair_grappling_029'","None"
30,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""30_Name"", ""30. A throw from the leg hook"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""30_Description"", ""In the form and posture of this fight, you must adapt yourself in this way: place your left foot inside the opponent\'s right foot, seize their middle firmly with both of your hands, and pull them with all your strength. |But if they embrace you in the same way, then place your right hand under the opponent\'s chin and push them backward. |From this action, if you insert your right foot into the opponent\'s left knee, you can easily throw them down. |This posture proceeds from either side or can be formed."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_030.400px-Mair_grappling_030'","None"
31,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""31_Name"", ""31. How to get free from a double armlock"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""31_Description"", ""Place your left foot forward in this posture, seize the opponent\'s chest from their left side with your right hand, and their right shoulder with your left hand. |But if they seize you in the same way, placing their right foot forward, then if you press their right arm outward with your left arm towards your chest, the opponent will be forced to bend forward. |Seize their left shoulder with your right hand and pull them in this way. |Then, place your left hand on their groin or pubic area, and if you place your right hand around their neck, you can throw the opponent down from the scissor-like posture."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_031.400px-Mair_grappling_031'","None"
32,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""32_Name"", ""32. An armtwist with a throw"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""32_Description"", ""If you see the opponent advancing against you, step forward with your right foot towards them, place your left arm under their right elbow, and pull them towards you in the same way, causing them to bend. |At that moment, seize their right hand with your left hand and bend their arm downward, breaking their arm in this way. |But if they seize you in the same way, then if you firmly suppress their right arm with your left arm in this posture, you will free yourself and secure yourself from any danger to your arm. |Then, quickly apply your left hand to the front of their neck, and if you place your left foot behind their right foot, you can throw them down using the same foot."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_032.400px-Mair_grappling_032'","None"
33,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""33_Name"", ""33. A pull with a throw"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""33_Description"", ""If the opponent strikes your chest with their head, immediately place both of your hands on their neck and seize the leather strap they are wearing. |Meanwhile, carefully observe that you stand in the balance posture. |However, if the opponent embraces you in the same way, then place both of your arms over their arms. |But if they use the same method in return, step back with your left foot, and if you quickly pull them as much as you can, you will throw the opponent down on their front."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_033.400px-Mair_grappling_033'","None"
34,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""34_Name"", ""34. A run-through under the arm"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""34_Description"", ""Prepare yourself for this fight in this way: seize the opponent\'s left hand with your right hand and lift it upward. |Then, pass your head under their left arm and place your left foot behind their left foot. |Then, seize their left foot with your left hand. |From this posture, if you lift yourself up and raise the opponent, you can throw them down or carry them wherever you wish."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_034.400px-Mair_grappling_034'","None"
35,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""35_Name"", ""35. A roundturner"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""35_Description"", ""If you approach the opponent\'s view, you must compose yourself in this way: when they place their right foot forward against you, place your right foot forward as well and seize their left arm with your left hand. |Remember to place your right arm under their left elbow. |From this posture, you will turn them so that they must present their back to you. |Then, follow with your left foot, and if you push them from above, the opponent will fall forward."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_035.400px-Mair_grappling_035'","None"
36,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""36_Name"", ""36. A throw from the scales"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""36_Description"", ""In this form of the fight, if you approach the opponent closely, place your left foot forward and lean downward into the balance posture. |However, if they stand against you in the same way, then proceed in a triangle towards the opponent. |Then, place your right hand backward between their feet, seize their right foot, and lift it upward. |Place your left arm around their neck so that you seize their chest with your left hand. |From this posture, press them sharply downward, and if you lift them upward with your right hand, you can throw the opponent forward through their chest."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_036.400px-Mair_grappling_036'","None"
37,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""37_Name"", ""37. An entry with an armlock"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""37_Description"", ""In this encounter, place your left foot forward. |But if the opponent places their right foot forward against you and attempts to seize you, you must immediately seize their right thumb with your right hand and their shoulder from the outside with your left hand. |But if the opponent seizes you in the same way and tries to pull you towards them, then place your left foot between both of their feet. |Then, seize the opponent\'s right elbow with your left hand, and if you suppress them from this posture, they will be forced to release your thumb. |Afterward, place your left hand around their neck from the front, and throw them down using the advanced foot."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_037.400px-Mair_grappling_037'","None"
38,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""38_Name"", ""38. A throw from the tongs"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""38_Description"", ""When you enter the view of the opponent, if they advance against you with their right foot, then step back and place your left foot behind their right foot, extend your left hand under their right arm over their chest, and apply it to their neck. |Then, seize their right foot from above with your right hand, and if you lift them from this posture and suppress them firmly from above, you will throw them down from the scissor-like posture."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_038.400px-Mair_grappling_038'","None"
39,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""39_Name"", ""39.  A hip throw"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""39_Description"", ""Place your right foot forward against the opponent in this encounter. |But if the opponent leans on their left foot, carefully seize their left hand with your left hand and pull them towards you. |Then, place your right hand backward around their hips and throw them down using your right hip."")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_039.400px-Mair_grappling_039'","None"
40,"NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""40_Name"", ""40. A press-down"")","NSLOCTEXT(""DT_Grappling [9F3A18E6DE96DB282EA2807DC55C8CE6]"", ""40_Description"", ""If you both engage, place your left foot behind the opponent\'s right foot. |But if they place their right foot forward against you and seize your right foot from above with their left hand while inserting their right arm between both of yours, then immediately seize their neck from above with your left hand. |If you place your left hand under their right armpit, suppress the opponent downward as much as possible"")","/Script/Engine.Texture2D'/Game/Resources/Grappling/400px-Mair_grappling_040.400px-Mair_grappling_040'","None"
